imdbid, kaggleid
tt0114709,862
tt0113497,8844
tt0113228,15602
tt0114885,31357
tt0113041,11862
tt0113277,949
tt0114319,11860
tt0112302,45325
tt0114576,9091
tt0113189,710
tt0112346,9087
tt0112896,12110
tt0112453,21032
tt0113987,10858
tt0112760,1408
tt0112641,524
tt0114388,4584
tt0113101,5
tt0112281,9273
tt0113845,11517
tt0113161,8012
tt0112722,1710
tt0112401,9691
tt0114168,12665
tt0113627,451
tt0114057,16420
tt0114011,9263
tt0114117,17015
tt0112682,902
tt0115012,37557
tt0112792,9909
tt0114746,63
tt0114952,78802
tt0112431,9598
tt0112637,47018
tt0112818,687
tt0112286,139405
tt0113442,33689
tt0112697,9603
tt0112749,34615
tt0114279,31174
tt0112819,11443
tt0114272,35196
tt0113855,9312
tt0114681,577
tt0113347,11861
tt0114369,807
tt0114148,10530
tt0114916,8391
tt0114814,629
tt0109950,117164
tt0113819,11448
tt0110299,49133
tt0112499,26441
tt0113158,97406
tt0113541,124057
tt0113321,9089
tt0110877,11010
tt0112714,99040
tt0113419,11359
tt0116260,17182
tt0113862,2054
tt0116126,10607
tt0118002,19760
tt0115683,9536
tt0116839,11525
tt0114753,40628
tt0113149,4482
tt0113118,10634
tt0116367,755
tt0113010,11859
tt0113537,28387
tt0113828,48750
tt0115644,20927
tt0115676,36929
tt0114367,9102
tt0113973,124626
tt0112744,27526
tt0116731,9623
tt0112445,46785
tt0114660,400
tt0112379,880
tt0114039,146599
tt0113612,188588
tt0112365,8447
tt0118158,10534
tt0116151,17414
tt0115697,13997
tt0113972,2086
tt0113490,61548
tt0117002,9095
tt0114825,12158
tt0115639,9283
tt0115759,9208
tt0113403,40154
tt0113247,406
tt0111173,45549
tt0113283,63076
tt0115907,11062
tt0115734,13685
tt0117102,47475
tt0118040,2045
tt0116483,9614
tt0112579,688
tt0110251,11907
tt0117110,10874
tt0112646,89333
tt0113276,96357
tt0112573,197
tt0075314,103
tt0113326,33542
tt0115645,43566
tt0113774,71754
tt0112556,43612
tt0112373,51352
tt0115033,16934
tt0116606,10324
tt0114536,78406
tt0117427,55731
tt0106473,32119
tt0103859,11066
tt0109424,11104
tt0114808,37975
tt0116324,2074
tt0110647,27793
tt0111055,44284
tt0110217,290157
tt0114131,110972
tt0112364,32622
tt0113107,73067
tt0113451,11863
tt0114015,55475
tt0114500,124636
tt0116130,9101
tt0113125,123360
tt0113756,5757
tt0113952,39428
tt0114618,124639
tt0118055,9302
tt0115685,11000
tt0113200,249882
tt0112585,16388
tt0112442,9737
tt0112342,30765
tt0112461,10474
tt0112427,22279
tt0109093,30157
tt0112384,568
tt0114287,11780
tt0112288,34996
tt0112462,414
tt0061395,649
tt0112495,1873
tt0112541,5894
tt0109370,1775
tt0112642,8839
tt0112688,20649
tt0112715,10329
tt0112740,8963
tt0109508,26564
tt0112851,8068
tt0112857,8512
tt0112864,1572
tt0112887,13552
tt0113044,259209
tt0113071,6520
tt0113114,9073
tt0113243,10428
tt0113464,17447
tt0113481,9886
tt0113492,9482
tt0113500,19326
tt0113540,9344
tt0113677,9071
tt0113690,8973
tt0107447,15730
tt0113729,47608
tt0113749,2293
tt0113820,9070
tt0113851,68274
tt0110604,48787
tt0110620,34574
tt0113957,1642
tt0113986,11472
tt0114095,36196
tt0114194,11980
tt0114241,58372
tt0114323,32646
tt0114345,10533
tt0114435,56088
tt0114436,10802
tt0114478,10149
tt0114496,18402
tt0114508,9348
tt0114534,139408
tt0114558,281
tt0058450,5967
tt0114666,79593
tt0114663,47939
tt0114702,36834
tt0114682,9090
tt0114781,3512
tt0114798,52856
tt0114805,77350
tt0114887,9560
tt0114898,9804
tt0114928,31611
tt0114938,65796
tt0109340,49805
tt0112602,26258
tt0111579,50797
tt0110882,19155
tt0112471,76
tt0112508,11017
tt0112438,37141
tt0112571,9382
tt0112757,6715
tt0112643,18256
tt0112679,22625
tt0109445,2292
tt0112883,1909
tt0109635,8984
tt0112899,61813
tt0109676,4954
tt0112854,62488
tt0109579,10531
tt0109642,11929
tt0109686,8467
tt0111797,10451
tt0109759,20156
tt0109758,18395
tt0109707,522
tt0113117,397
tt0113097,10525
tt0113028,27985
tt0113198,15789
tt0113303,27303
tt0113089,21183
tt0109771,10954
tt0113199,47867
tt0113234,43475
tt0109906,72031
tt0110057,14275
tt0110005,1024
tt0110066,17207
tt0110116,13701
tt0110006,14819
tt0113360,32631
tt0110099,11777
tt0110148,628
tt0113463,87729
tt0110189,18713
tt0110216,6280
tt0113501,9061
tt0113538,37108
tt0113552,6071
tt0076759,11
tt0110367,9587
tt0113670,19101
tt0110296,49980
tt0109731,17961
tt0103994,18183
tt0110322,4476
tt0110443,11008
tt0110365,47504
tt0107566,32325
tt0110391,43742
tt0113691,28313
tt0110428,11318
tt0109836,3036
tt0113755,40490
tt0110538,24070
tt0110516,8986
tt0110527,10510
tt0113808,17402
tt0113896,38722
tt0113870,8438
tt0110684,11593
tt0110638,1945
tt0113967,39310
tt0117169,109560
tt0106402,56428
tt0113948,63105
tt0110671,131957
tt0110632,241
tt0110737,9058
tt0110729,527
tt0114151,18220
tt0114069,6950
tt0110413,101
tt0114113,63020
tt0114210,2307
tt0110912,680
tt0114084,41478
tt0105652,25296
